objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Inuit: The Snow Folk","261009","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490439","5.82897","6.87341","1.9286","3899","1027","thing","Inuit: The Snow Folk","2","4","45","45","30","2019","2,3,4","2,3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Jaws","272738","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490308","6.63574","7.12847","2.1556","935","14113","thing","Jaws","2","4","60","60","60","2019","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Kingdom Rush: Rift in Time","272533","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490479","6.39494","7.38356","2.9744","1396","5349","thing","Kingdom Rush: Rift in Time","1","4","90","90","45","2020","1,2,3","1,2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Ruins of Arnak","312484","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490504","7.89014","8.0793","2.9019","28","54248","thing","Lost Ruins of Arnak","1","4","120","120","30","2020","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Merchants of the Dark Road","300217","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490546","6.57017","7.42507","3.1806","1041","6276","thing","Merchants of the Dark Road","1","4","120","120","60","2022","1,2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Namiji","275215","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490681","5.99148","7.10171","1.7391","2799","2684","thing","Namiji","2","5","45","45","30","2022","2,3,4,5","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"On Tour","251412","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490493","6.51126","6.96332","1.4545","1145","7642","thing","On Tour","1","8","20","20","20","2019","1,2,3,4,5,6,7,8","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Overbooked","230200","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490458","6.08761","7.04139","1.8966","2361","2741","thing","Overbooked","1","4","40","40","20","2018","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic Legacy: Season 1","161936","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490443","8.38944","8.53569","2.832","2","78708","thing","Pandemic Legacy: Season 1","2","4","60","60","60","2015","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Paranormal Detectives","280136","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490529","6.27092","7.02248","1.6842","1710","4530","thing","Paranormal Detectives","2","6","50","50","30","2019","3,4,5,6","4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"PARKS","266524","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490434","7.45034","7.6939","2.1439","131","38432","thing","PARKS","1","5","60","60","30","2019","1,2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Radlands","329082","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490521","7.36886","7.94693","2.2353","168","15437","thing","Radlands","2","2","40","40","20","2021","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Rick and Morty: The Ricks Must Be Crazy Multiverse Game","241731","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490421","5.53439","6.00404","2.75","13281","766","thing","Rick and Morty: The Ricks Must Be Crazy Multiverse Game","2","4","45","45","30","2018","2,3,4","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Rick and Morty: Total Rickall Card Game","194232","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490373","5.77558","6.13818","1.5","4419","6742","thing","Rick and Morty: Total Rickall Card Game","2","5","30","30","30","2016","3,4,5","5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Risk: The Walking Dead – Survival Edition","147568","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490337","5.64253","6.44416","1.9167","6572","1391","thing","Risk: The Walking Dead – Survival Edition","2","5","60","60","60","2013","2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Root","237182","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490287","7.88787","8.08015","3.7723","29","68243","thing","Root","2","4","90","90","60","2018","3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Root: The Exiles and Partisans Deck","272638","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490456","7.08074","8.65186","3.75","0","13645","thing","Root: The Exiles and Partisans Deck","2","6","0","0","0","2020","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Root: The Riverfolk Expansion","241386","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490448","7.71364","8.43327","3.8288","0","28973","thing","Root: The Riverfolk Expansion","1","6","90","90","60","2018","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Root: The Underworld Expansion","272637","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490445","7.60873","8.71752","3.5833","0","19764","thing","Root: The Underworld Expansion","2","6","90","90","60","2020","3,4,5,6","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Santorini","194655","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490408","7.24588","7.3815","1.7322","242","58509","thing","Santorini","2","4","20","20","20","2016","2,3","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
